family,official_members,fixed_12_members,active_matched_members,missing_fixed_12_members,matched_trajectories,low_to_high_test_support,high_to_low_test_support,tier,status,reason,evidence
auxiliary_letdown_break,LLB,LLB,,LLB,0,0,0,Tier C,not-supported,No strict matched trajectory is available for this family in the evaluated 120 s cohort.,results/14_accident_family_mapping.csv
electrical_power_loss,LACP,,,,0,0,0,Tier C,not-supported,No strict matched trajectory is available for this family in the evaluated 120 s cohort.,results/14_accident_family_mapping.csv
feedwater_line_break,FLB,FLB,FLB,,99,20,20,Tier A,supported,The evaluated fixed-12 members have adequate matched and two-direction OOD support.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv; results/14_accident_family_mapping.csv
hydrogen_combustion,SP,,,,0,0,0,Tier C,not-supported,No strict matched trajectory is available for this family in the evaluated 120 s cohort.,results/14_accident_family_mapping.csv
primary_coolant_boundary_break,LOCA;LOCAC,LOCA;LOCAC,LOCA;LOCAC,,155,32,32,Tier A,supported,The evaluated fixed-12 members have adequate matched and two-direction OOD support.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv; results/14_accident_family_mapping.csv
reactivity_and_control,ATWS;MD;RI;RW,MD;RI;RW,RI;RW,MD,37,7,7,Tier B,exploratory,Family has some matched support but at least one fixed-12 member is missing or support is sparse.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv; results/14_accident_family_mapping.csv
reactor_coolant_flow_loss,LOF,,,,0,0,0,Tier C,not-supported,No strict matched trajectory is available for this family in the evaluated 120 s cohort.,results/14_accident_family_mapping.csv
steam_generator_tube_rupture,SGATR;SGBTR,SGATR;SGBTR,SGATR;SGBTR,,98,20,20,Tier A,supported,The evaluated fixed-12 members have adequate matched and two-direction OOD support.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv; results/14_accident_family_mapping.csv
steam_line_break,SLBIC;SLBOC,SLBIC;SLBOC,SLBIC,SLBOC,88,18,18,Tier B,exploratory,Family has some matched support but at least one fixed-12 member is missing or support is sparse.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv; results/14_accident_family_mapping.csv
turbine_and_load_transient,LR;TT,LR,LR,,28,6,6,Tier A,supported,The evaluated fixed-12 members have adequate matched and two-direction OOD support.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv; results/14_accident_family_mapping.csv
