feature,readme_definition,group,ml_policy,basis,source
P,Press RCS (bar),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TAVG,Temp RCS average (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
THA,Temp Hot leg A (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
THB,Temp Hot leg B (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TCA,Temp Cold leg A (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TCB,Temp Cold leg B (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WRCA,Flow Reactor coolant loop A (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WRCB,Flow Reactor coolant loop B (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PSGA,Pressure Steam generator A (bar),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PSGB,Pressure Steam generator B (bar),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WFWA,Flow SG A feedwater (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WFWB,Flow SG B feedwater (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WSTA,Flow SG A steam (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WSTB,Flow SG B steam (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
VOL,Volume RCS liquid (M3),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
LVPZ,Level Pressurizer (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
QMWT,PowerTotal megawatt thermal (MW),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
LSGA,Level SG A wide range (M),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
LSGB,Level SG B wide range (M),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
QMGA,Power SG A heat removal (MW),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
QMGB,Power SG B heat removal (MW),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
