feature,readme_definition,group,ml_policy_from_03,accident_class,class_trajectory_count,other_trajectory_count,class_presence_rate,other_presence_rate,class_state_change_rate,other_state_change_rate,class_low_cardinality_rate,other_low_cardinality_rate,risk_type,trigger,confidence_note,potential_label_leakage,auto_removed,recommendation
LVCR,Level Core water (M),observable_process,candidate,LOCA,100,1116,1.0,1.0,0.91,0.08064516129032258,0.09,0.9193548387096774,potential_label_leakage,class_specific_state_change,review_candidate,True,False,Review before training; audit does not delete this variable automatically.
LVCR,Level Core water (M),observable_process,candidate,LOCAC,100,1116,1.0,1.0,0.9,0.08154121863799284,0.1,0.9184587813620072,potential_label_leakage,class_specific_state_change,review_candidate,True,False,Review before training; audit does not delete this variable automatically.
PSGA,Pressure Steam generator A (bar),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
PSGB,Pressure Steam generator B (bar),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
QMGA,Power SG A heat removal (MW),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
QMGB,Power SG B heat removal (MW),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
QMWT,PowerTotal megawatt thermal (MW),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
RM4,Rad Monitor Aux Building Air (CPM),radiological_or_dose,exclude,LLB,101,1115,1.0,1.0,1.0,0.0,0.0,1.0,potential_label_leakage,class_specific_state_change,review_candidate,True,False,Review before training; audit does not delete this variable automatically.
SGLK,Mass Total Leakage out of SGs (kg),radiological_or_dose,exclude,LACP,1,1215,1.0,0.030452674897119343,1.0,0.030452674897119343,0.0,0.974485596707819,potential_label_leakage,class_specific_nonzero;class_specific_state_change,low_sample_class,True,False,Review before training; audit does not delete this variable automatically.
SGLK,Mass Total Leakage out of SGs (kg),radiological_or_dose,exclude,TT,1,1215,1.0,0.030452674897119343,1.0,0.030452674897119343,0.0,0.974485596707819,potential_label_leakage,class_specific_nonzero;class_specific_state_change,low_sample_class,True,False,Review before training; audit does not delete this variable automatically.
STSG,Rad Rel Rate SG Valves (GBq/s),radiological_or_dose,exclude,LACP,1,1215,1.0,0.030452674897119343,1.0,0.030452674897119343,0.0,0.9761316872427983,potential_label_leakage,class_specific_nonzero;class_specific_state_change,low_sample_class,True,False,Review before training; audit does not delete this variable automatically.
STSG,Rad Rel Rate SG Valves (GBq/s),radiological_or_dose,exclude,TT,1,1215,1.0,0.030452674897119343,1.0,0.030452674897119343,0.0,0.9761316872427983,potential_label_leakage,class_specific_nonzero;class_specific_state_change,low_sample_class,True,False,Review before training; audit does not delete this variable automatically.
TAVG,Temp RCS average (°C),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
TCA,Temp Cold leg A (°C),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
TCB,Temp Cold leg B (°C),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
THA,Temp Hot leg A (°C),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
THB,Temp Hot leg B (°C),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
WFLB,Flow FW Line Break (kg/s),direct_accident_or_leak,exclude,FLB,100,1116,1.0,0.0,1.0,0.0,1.0,1.0,potential_label_leakage,class_specific_nonzero;class_specific_state_change,review_candidate,True,False,Review before training; audit does not delete this variable automatically.
WFWA,Flow SG A feedwater (t/hr),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
WFWB,Flow SG B feedwater (t/hr),observable_process,candidate,SLBIC,101,1115,1.0,1.0,1.0,1.0,0.0,0.0,initial_condition_confounding,class_specific_initial_constant,review_candidate,False,False,Review before training; audit does not delete this variable automatically.
WLR,Flow RCS leak (t/hr),direct_accident_or_leak,exclude,LOCA,100,1116,1.0,0.08870967741935484,1.0,0.08870967741935484,0.0,0.9112903225806451,potential_label_leakage,class_specific_nonzero;class_specific_state_change,review_candidate,True,False,Review before training; audit does not delete this variable automatically.
WLR,Flow RCS leak (t/hr),direct_accident_or_leak,exclude,LOCAC,100,1116,0.99,0.08960573476702509,0.99,0.08960573476702509,0.01,0.910394265232975,potential_label_leakage,class_specific_nonzero;class_specific_state_change,review_candidate,True,False,Review before training; audit does not delete this variable automatically.
WRLA,Flow SG A MSV/ADV (t/h),protection_or_control_action,exclude,LACP,1,1215,1.0,0.030452674897119343,1.0,0.030452674897119343,0.0,0.9761316872427983,potential_label_leakage,class_specific_nonzero;class_specific_state_change,low_sample_class,True,False,Review before training; audit does not delete this variable automatically.
