class,official_description,family,in_fixed_12,matched_trajectories,low_to_high_test_support,high_to_low_test_support,family_mapping_confidence,tier,status,reason,evidence
ATWS,Anticipated Transient Without Scram,reactivity_and_control,False,0,0,0,high,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
FLB,Feedwater Line Break,feedwater_line_break,True,99,20,20,high,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
LACP,Loss of AC Power,electrical_power_loss,False,0,0,0,high,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
LLB,Letdown Line Break in auxiliary buildings,auxiliary_letdown_break,True,0,0,0,high,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
LOCA,Loss of Coolant Accident (Hot Leg),primary_coolant_boundary_break,True,76,16,16,high,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
LOCAC,Loss of Coolant Accident (Cold Leg),primary_coolant_boundary_break,True,79,16,16,high,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
LOF,Loss of Flow (Locked Rotor),reactor_coolant_flow_loss,False,0,0,0,high,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
LR,Load Rejection,turbine_and_load_transient,True,28,6,6,medium,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
MD,Moderator Dilution,reactivity_and_control,True,0,0,0,medium,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
RI,Rod Insertion,reactivity_and_control,True,34,7,7,high,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
RW,Rod Withdrawal,reactivity_and_control,True,3,0,0,high,Tier B,exploratory,Class is present in the matched cohort but support is insufficient for stable two-direction OOD claims.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
SGATR,Steam Generator A Tube Rupture,steam_generator_tube_rupture,True,44,9,9,high,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
SGBTR,Steam Generator B Tube Rupture,steam_generator_tube_rupture,True,54,11,11,high,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
SLBIC,Steam Line Break Inside Containment,steam_line_break,True,88,18,18,high,Tier A,supported,At least 20 matched trajectories and at least 5 OOD test cases in both severity directions.,results/13_ood_summary.json; results/14_ood_error_decomposition.csv
SLBOC,Steam Line Break Outside Containment,steam_line_break,True,0,0,0,high,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
SP,Spark Presence for Hydrogen Burn,hydrogen_combustion,False,0,0,0,high,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
TT,Turbine Trip,turbine_and_load_transient,False,0,0,0,medium,Tier C,not-supported,No strict matched 120 s pre-protection trajectory is available in the 13 cohort.,results/13_ood_summary.json
