feature,readme_definition,group,ml_policy,basis,source
TIME,Time (sec),time_index,exclude,"TIME is the sampling coordinate, not a plant sensor.","NPPAD README.md, Table 2 (local copy)"
P,Press RCS (bar),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TAVG,Temp RCS average (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
THA,Temp Hot leg A (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
THB,Temp Hot leg B (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TCA,Temp Cold leg A (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TCB,Temp Cold leg B (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WRCA,Flow Reactor coolant loop A (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WRCB,Flow Reactor coolant loop B (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PSGA,Pressure Steam generator A (bar),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PSGB,Pressure Steam generator B (bar),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WFWA,Flow SG A feedwater (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WFWB,Flow SG B feedwater (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WSTA,Flow SG A steam (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WSTB,Flow SG B steam (t/hr),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
VOL,Volume RCS liquid (M3),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
LVPZ,Level Pressurizer (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
VOID,Void of RCS (%),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
WLR,Flow RCS leak (t/hr),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
WUP,Flow Przr PORV and safeties (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
