record_id,source_kind,source_group,source_category,scenario_id,case_id,classification,is_legal_normal_reference,legal_normal_reason,source_path,raw_mdb_path,transient_report_path,mdb_read_status,mdb_table_names,operating_condition,start_power_pct,end_power_pct,ramp_rate_pct_per_min,transition_direction,accident_code,accident_name,injection_time_s,report_event_line,rows,column_count,non_time_variable_count,reference_97_variables_available,schema_97_columns,schema_extra_columns,schema_missing_columns,missing_cells,time_numeric,time_strictly_increasing,time_start_s,time_end_s,sampling_median_s,sampling_min_s,sampling_max_s,nonuniform_sampling_intervals,pwr_start_pct,pwr_end_pct,pwr_min_pct,pwr_max_pct,loca_initial_condition_match,pre_injection_rows,pre_injection_time_start_s,pre_injection_time_end_s,pre_injection_window_s,pre_injection_sampling_median_s,has_valid_pre_injection_sample,pre_window_usable_for_normal,independent_trajectory,independence_note,train_use,calibration_use,test_use,audit_note
accident_ATWS_1,accident_pre_injection_audit,accident_pre_injection,ATWS,ATWS_1,1,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/ATWS/1.csv,data/NuclearPowerPlantAccidentData/NPPAD/ATWS/1.mdb,data/NuclearPowerPlantAccidentData/NPPAD/ATWS/1Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,ATWS,ATWS,0.5,"000000.5 sec, Malfunction # 8 Fraction = 00.0 %",580,97,96,True,True,,,,True,True,0.0,5790.0,10.0,10.0,10.0,0,100.0,100.27488708496094,100.0,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_1,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_1,1,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/1.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/1.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/1Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 01.0 %",553,97,96,True,True,,,,True,True,0.0,5520.0,10.0,10.0,10.0,0,100.0,100.27488708496094,100.0,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_10,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_10,10,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/10.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/10.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/10Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 10.0 %",245,97,96,True,True,,,,True,True,0.0,2440.0,10.0,10.0,10.0,0,100.0,1.5727092027664185,1.5727092027664185,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_100,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_100,100,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/100.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/100.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/100Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 100.0 %",161,97,96,True,True,,,,True,True,0.0,1600.0,10.0,10.0,10.0,0,100.0,1.6644792556762695,1.6644792556762695,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_11,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_11,11,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/11.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/11.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/11Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 11.0 %",234,97,96,True,True,,,,True,True,0.0,2330.0,10.0,10.0,10.0,0,100.0,1.5848522186279297,1.5848522186279297,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_12,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_12,12,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/12.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/12.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/12Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 12.0 %",243,97,96,True,True,,,,True,True,0.0,2420.0,10.0,10.0,10.0,0,100.0,1.5511349439620972,1.5511349439620972,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_13,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_13,13,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/13.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/13.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/13Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 13.0 %",240,97,96,True,True,,,,True,True,0.0,2390.0,10.0,10.0,10.0,0,100.0,1.5491453409194946,1.5491453409194946,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_14,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_14,14,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/14.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/14.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/14Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 14.0 %",236,97,96,True,True,,,,True,True,0.0,2350.0,10.0,10.0,10.0,0,100.0,1.5511207580566406,1.5511207580566406,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_15,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_15,15,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/15.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/15.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/15Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 15.0 %",238,97,96,True,True,,,,True,True,0.0,2370.0,10.0,10.0,10.0,0,100.0,1.5397636890411377,1.5397636890411377,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
accident_FLB_16,accident_pre_injection_audit,accident_pre_injection,FLB,FLB_16,16,C,False,Accident trajectory; its pre-injection samples are not an independent Normal run and cannot be relabeled as Normal.,data/NuclearPowerPlantAccidentData/Operation_csv_data/FLB/16.csv,data/NuclearPowerPlantAccidentData/NPPAD/FLB/16.mdb,data/NuclearPowerPlantAccidentData/NPPAD/FLB/16Transient Report.txt,not_attempted_accident_scope,,Original NPPAD accident trajectory,,,,,FLB,FLB,0.5,"000000.5 sec, Malfunction # 13 Fraction = 16.0 %",237,97,96,True,True,,,,True,True,0.0,2360.0,10.0,10.0,10.0,0,100.0,1.5363367795944214,1.5363367795944214,100.33602905273438,True,1.0,0.0,0.0,0.0,,True,False,False,Pre-injection segment belongs to an accident case and shares the common initialized state.,no,no,"accident test only, not Normal calibration",First malfunction is at 0.5 s; 10 s sampling leaves only t=0 before injection and a 0 s usable window.
