class,official_description,family,source,justification,confidence,notes
ATWS,Anticipated Transient Without Scram,reactivity_and_control,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Name explicitly identifies a reactivity/control transient.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
FLB,Feedwater Line Break,feedwater_line_break,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Official name identifies a feedwater-line boundary break.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
LACP,Loss of AC Power,electrical_power_loss,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Official name identifies loss of alternating-current power.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
LLB,Letdown Line Break in auxiliary buildings,auxiliary_letdown_break,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Official name identifies an auxiliary-building letdown-line break.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
LOCA,Loss of Coolant Accident (Hot Leg),primary_coolant_boundary_break,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Hot-leg LOCA and cold-leg LOCA share the primary-coolant boundary-break mechanism.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
LOCAC,Loss of Coolant Accident (Cold Leg),primary_coolant_boundary_break,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Hot-leg LOCA and cold-leg LOCA share the primary-coolant boundary-break mechanism.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
LOF,Loss of Flow (Locked Rotor),reactor_coolant_flow_loss,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Official name identifies a locked-rotor loss-of-flow event.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
LR,Load Rejection,turbine_and_load_transient,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Load rejection and turbine trip are grouped by the official turbine/load transient descriptions.,medium,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
MD,Moderator Dilution,reactivity_and_control,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Official name identifies a moderator/reactivity event; grouped with other reactivity/control transients.,medium,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
RI,Rod Insertion,reactivity_and_control,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Rod insertion and rod withdrawal are grouped by the official control-rod descriptions.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
RW,Rod Withdrawal,reactivity_and_control,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Rod insertion and rod withdrawal are grouped by the official control-rod descriptions.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
SGATR,Steam Generator A Tube Rupture,steam_generator_tube_rupture,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Steam-generator A/B tube ruptures share the official tube-rupture mechanism.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
SGBTR,Steam Generator B Tube Rupture,steam_generator_tube_rupture,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Steam-generator A/B tube ruptures share the official tube-rupture mechanism.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
SLBIC,Steam Line Break Inside Containment,steam_line_break,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Inside/outside-containment steam-line breaks share the official steam-line-break mechanism.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
SLBOC,Steam Line Break Outside Containment,steam_line_break,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Inside/outside-containment steam-line breaks share the official steam-line-break mechanism.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
SP,Spark Presence for Hydrogen Burn,hydrogen_combustion,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Official name identifies a hydrogen-burn spark event.,high,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
TT,Turbine Trip,turbine_and_load_transient,data/NuclearPowerPlantAccidentData/README.md Table 1 (local copy),Load rejection and turbine trip are grouped by the official turbine/load transient descriptions.,medium,Family is a research taxonomy derived from the official description; it is not an NPPAD-native label.
